 # MagPy - ASCII
 # Data Interval Type:  Filtered 1-minute (00:15-01:45)              |
 # Station Name:                                               |
 # Data Type:  variation                                    |
 # Elevation:                                               |
 # Format:  IAGA-2002                                    |
 # Geodetic Latitude:                                               |
 # Reported:                                               |
 # IAGA Code:                                               |
 # Sensor Orientation:                                               |
 # Geodetic Longitude:                                               |
 # Source of Data:                                               |
 # Digital Sampling:  0.00625 seconds                              |
# head:
Epoch[],x[nT],y[nT],z[nT],f[nT],T[],ScaleValueDI[],Dec_S0[],Dec_deltaH[],Dec_epsilonZ[],Inc_S0[],Inc_epsilonZ[],basex[],basey[],basez[],dF[],Person[],DI-Inst[],F-Inst[],Vario-Inst[],-[],-[],-[],-[]
# data:
2009-01-02T12:08:00.000000,20809.9880684,1120.77934431,43728.6906513,48440.79,nan,999.0,0.378884574248,-5.53171478407,-9.62366818598,nan,nan,nan,nan,nan,3.95349998391,Berger,T010B,ELSEC820,-,000000000-,-,xyzf,nan
2009-01-02T12:25:30.000000,20809.397752,1120.89932042,43728.9684961,48440.79,nan,999.0,-0.530423564788,-5.32949391282,-8.41100224155,nan,nan,nan,nan,nan,3.95349998391,Berger,T010B,ELSEC820,-,000000000-,-,xyzf,nan
2009-01-05T11:42:00.000000,20796.5863691,1116.4932119,43729.0559459,48435.265,nan,999.0,-0.605819347003,-6.00770852441,-9.49116976964,nan,nan,nan,nan,nan,4.37641667579,Berger,T010B,ELSEC820,-,000000000-,-,xyzf,nan
2009-01-05T12:03:00.000000,20797.7205976,1115.13841833,43728.5510836,48435.265,nan,999.0,-1.43889418134,-7.54788351265,-9.01202145156,nan,nan,nan,nan,nan,4.37641667579,Berger,T010B,ELSEC820,-,000000000-,-,xyzf,nan
2009-01-08T13:55:30.000000,20818.6309374,1112.36259711,43732.3414144,48447.605,nan,999.0,-0.0505377711369,-5.20539042695,-9.14733657551,nan,nan,nan,nan,nan,4.54633335605,Berger,T010B,ELSEC820,-,000000000-,-,xyzf,nan
2009-01-08T14:17:30.000000,20814.20361,1114.74931728,43734.3879833,48447.605,nan,999.0,-0.985283585639,-6.03801992225,-8.16016918363,nan,nan,nan,nan,nan,4.54633335605,Leichter,T010B,ELSEC820,-,000000000-,-,xyzf,nan
2009-01-12T12:03:20.000000,20820.9531298,1116.50275236,43723.4805209,48440.7,nan,999.0,-1.92066928974,-6.267447156,-10.1593296642,nan,nan,nan,nan,nan,4.35208334021,Leichter,T010B,ELSEC820,-,000000000-,-,xyzf,nan
2009-01-12T12:28:50.000000,20817.107404,1114.98074646,43725.3504704,48440.7,nan,999.0,1.26336055726,-5.15451107366,-9.8036779244,nan,nan,nan,nan,nan,4.35208334021,Leichter,T010B,ELSEC820,-,000000000-,-,xyzf,nan
2009-01-12T13:14:50.000000,20804.1476858,1110.67050967,43734.0148013,48442.855,nan,999.0,-2.04535100504,-5.58052558166,-10.2772575192,nan,nan,nan,nan,nan,5.56841665355,Leichter,T010B,ELSEC820,-,000000000-,-,xyzf,nan
2009-01-19T15:00:00.000000,20820.4493839,1125.94893185,43732.767621,48449.085,nan,999.0,-0.833975020678,-4.6247705692,-7.70795094867,nan,nan,nan,nan,nan,4.2822499663,Berger,T010B,ELSEC820,-,000000000-,-,xyzf,nan
2009-01-19T15:18:30.000000,20817.7273205,1124.25809065,43734.1069452,48449.085,nan,999.0,0.252685653068,-5.60962149813,-8.13647802883,nan,nan,nan,nan,nan,4.2822499663,Berger,T010B,ELSEC820,-,000000000-,-,xyzf,nan
2009-01-22T12:26:30.000000,20824.675855,1123.84861793,43724.3279775,48443.235,nan,999.0,-4.12014255145,-6.9511607463,-12.2593198617,nan,nan,nan,nan,nan,3.66691665497,Berger,T010B,ELSEC820,-,000000000-,-,xyzf,nan
2009-01-22T12:43:00.000000,20824.1169023,1123.38813146,43724.6060201,48443.235,nan,999.0,-1.36491704703,-6.52127033583,-10.6665739602,nan,nan,nan,nan,nan,3.66691665497,Berger,T010B,ELSEC820,-,000000000-,-,xyzf,nan
2009-01-26T14:51:00.000000,20783.0196865,1121.12055461,43734.0359043,48434.045,nan,999.0,-1.16041231406,-6.71021033782,-9.53556205901,nan,nan,nan,nan,nan,5.00758335036,Berger,T010B,ELSEC820,-,000000000-,-,xyzf,nan
2009-01-26T15:07:30.000000,20775.0279129,1123.61885291,43737.7687011,48434.045,nan,999.0,-0.731288527307,-5.62335660654,-8.85111286501,nan,nan,nan,nan,nan,5.00758335036,Berger,T010B,ELSEC820,-,000000000-,-,xyzf,nan
2009-01-30T10:56:40.000000,20829.1388767,1123.95497923,43722.2270509,48443.26,nan,999.0,-1.94674145749,-7.55942462064,-9.07636601609,nan,nan,nan,nan,nan,4.1422500295,Leichter,T010B,ELSEC820,-,000000000-,-,xyzf,nan
2009-01-30T11:18:15.000000,20834.0303493,1122.80072703,43719.9260905,48443.26,nan,999.0,0.429899421885,-5.1335048614,-7.71290139273,nan,nan,nan,nan,nan,4.1422500295,Leichter,T010B,ELSEC820,-,000000000-,-,xyzf,nan
2009-02-09T13:53:40.000000,20823.9217544,1135.62146956,43729.6787558,48448.015,nan,999.0,0.53081297826,-10.7426436075,-9.47880318312,nan,nan,nan,nan,nan,4.01208334109,Leichter,T010B,ELSEC820,-,000000000-,-,xyzf,nan
2009-02-09T14:19:30.000000,20819.0432464,1141.35361638,43731.8523237,48448.015,nan,999.0,-0.606510808904,-6.82324660023,-7.98572565064,nan,nan,nan,nan,nan,4.01208334109,Leichter,T010B,ELSEC820,-,000000000-,-,xyzf,nan
2009-02-16T13:23:30.000000,20818.9559653,1124.2912408,43731.0895404,48446.89,nan,999.0,-0.808641742922,-5.15509111114,-10.7145030938,nan,nan,nan,nan,nan,4.13358340103,Berger,T010B,ELSEC820,-,000000000-,-,xyzf,nan
2009-02-16T13:42:00.000000,20819.8636495,1125.17542381,43730.634669,48446.89,nan,999.0,0.0252712108215,-4.47300431497,-9.67887374368,nan,nan,nan,nan,nan,4.13358340103,Berger,T010B,ELSEC820,-,000000000-,-,xyzf,nan
2009-02-19T11:16:00.000000,20824.1374506,1116.39507498,43727.1351847,48445.365,nan,999.0,0.935205018876,-4.92878320762,-10.0344970945,nan,nan,nan,nan,nan,4.49358331053,Leichter,T010B,ELSEC820,-,000000000-,-,xyzf,nan
2009-02-19T11:35:00.000000,20825.9798875,1114.6965388,43726.3010479,48445.365,nan,999.0,-1.11222896841,-6.97670898361,-8.44282898741,nan,nan,nan,nan,nan,4.49358331053,Leichter,T010B,ELSEC820,-,000000000-,-,xyzf,nan
2009-02-23T13:13:20.000000,20815.91596,1113.76093836,43725.5831871,48440.37,nan,999.0,0.429516731809,-7.55444134189,-7.95869238359,nan,nan,nan,nan,nan,4.39424999418,Leichter,T010B,ELSEC820,-,000000000-,-,xyzf,nan
2009-02-23T13:31:50.000000,20812.768335,1116.04644568,43727.0232271,48440.37,nan,999.0,-0.707336803745,-6.92179586518,-7.52808455409,nan,nan,nan,nan,nan,4.39424999418,Leichter,T010B,ELSEC820,-,000000000-,-,xyzf,nan
2009-02-26T10:56:40.000000,20820.8902536,1124.45421359,43719.3348679,48437.115,nan,999.0,-4.22049182381,-5.07975363225,-8.31462161695,nan,nan,nan,nan,nan,3.61216667067,Leichter,T010B,ELSEC820,-,000000000-,-,xyzf,nan
2009-02-26T11:23:50.000000,20824.1442868,1119.21300414,43717.9195125,48437.115,nan,999.0,-0.631900066634,-4.92882051979,-6.84979672237,nan,nan,nan,nan,nan,3.61216667067,Leichter,T010B,ELSEC820,-,000000000-,-,xyzf,nan
2009-03-02T11:19:00.000000,20815.8558033,1123.27141278,43719.2975449,48434.89,nan,999.0,-2.52662357977,-6.97348108017,-8.59052017123,nan,nan,nan,nan,nan,nan,Berger,T010B,ELSEC820,-,000000000-,-,xyzf,nan
2009-03-03T13:09:30.000000,20830.7112649,1124.02240552,43721.9803398,48443.715,nan,999.0,-3.79263960211,-6.62447717168,-9.05176651703,nan,nan,nan,nan,nan,nan,Berger,T010B,ELSEC820,-,000000000-,-,xyzf,nan
2009-03-05T14:04:50.000000,20823.1052884,1125.43444633,43726.6748666,48444.715,nan,999.0,-1.21320724863,-6.06603624317,-5.9143853371,nan,nan,nan,nan,nan,nan,Leichter,T010B,ELSEC820,-,000000000-,-,xyzf,nan
2009-03-05T14:27:25.000000,20822.3989084,1130.63575403,43726.8770657,48444.715,nan,999.0,-2.85603399532,-1.59230213898,-6.14173682181,nan,nan,nan,nan,nan,nan,Leichter,T010B,ELSEC820,-,000000000-,-,xyzf,nan
2009-03-09T14:24:30.000000,20817.4540892,1130.19011429,43738.8476472,48453.385,nan,999.0,-0.581178337467,-3.76502488183,-11.396149139,nan,nan,nan,nan,nan,nan,Berger,T010B,ELSEC820,-,000000000-,-,xyzf,nan
2009-03-09T14:57:30.000000,20817.7995838,1135.54856543,43738.5444191,48453.385,nan,999.0,0.101077577638,-5.35711161446,-10.2088353408,nan,nan,nan,nan,nan,nan,Berger,T010B,ELSEC820,-,000000000-,-,xyzf,nan
